uid,product_id,brand,experiment_name,quantity,amount,total_amount
6oh8sqI7fW2dEgtaXbaPjD,10781,Sharwoods,Experiment 2,1,2.8,5.6
5yzIz0a2djm1CwLhyR8MOL,10777,Sharwoods,Control,3,10.0,32.0
5yzIz0a2djm1CwLhyR8MOL,10764,Pataks,Control,2,6.0,32.0
5yzIz0a2djm1CwLhyR8MOL,10755,Pataks,Control,2,9.75,32.0
5yzIz0a2djm1CwLhyR8MOL,10742,Pataks,Control,1,2.4,32.0
5yzIz0a2djm1CwLhyR8MOL,10769,The Spice Tailor,Control,1,3.85,32.0
042NFAFx3OM66ZVQVxSVT1,10788,Sharwoods,Experiment 1,1,2.0,6.9
042NFAFx3OM66ZVQVxSVT1,10736,Pataks,Experiment 1,1,2.4,6.9
042NFAFx3OM66ZVQVxSVT1,10751,Sharwoods,Experiment 1,1,2.5,6.9
4o4rFFuStS6vKPdftEXOYL,10740,Sharwoods,Experiment 1,1,2.5,2.5
725GmD2lYCywyatMuOBPQ5,10759,Sharwoods,Experiment 1,1,2.5,16.8
725GmD2lYCywyatMuOBPQ5,10787,Sharwoods,Experiment 1,1,2.0,16.8
725GmD2lYCywyatMuOBPQ5,10738,Pataks,Experiment 1,1,2.4,16.8
725GmD2lYCywyatMuOBPQ5,10757,Pataks,Experiment 1,1,2.4,16.8
725GmD2lYCywyatMuOBPQ5,10745,Sharwoods,Experiment 1,1,2.5,16.8
725GmD2lYCywyatMuOBPQ5,10786,Sharwoods,Experiment 1,1,2.0,16.8
725GmD2lYCywyatMuOBPQ5,10753,Loyd Grossman,Experiment 1,1,3.0,16.8
3VlssVEqFsjywZgUh90Z7S,10765,Bens Original,Experiment 2,1,2.6,6.85
3VlssVEqFsjywZgUh90Z7S,10766,Pataks,Experiment 2,1,1.85,6.85
3VlssVEqFsjywZgUh90Z7S,10736,Pataks,Experiment 2,1,2.4,6.85
5nt7nGkGc2pV261yVYhotj,10780,Loyd Grossman,Experiment 2,3,9.0,22.85
5nt7nGkGc2pV261yVYhotj,10752,Pataks,Experiment 2,1,2.4,22.85
5nt7nGkGc2pV261yVYhotj,10763,Pataks,Experiment 2,2,4.8,22.85
5nt7nGkGc2pV261yVYhotj,10793,Sharwoods,Experiment 2,1,2.8,22.85
5nt7nGkGc2pV261yVYhotj,10748,The Spice Tailor,Experiment 2,1,3.85,22.85
43sPhW5Aaf1vPCQBpcvTzo,10771,Loyd Grossman,Control,1,3.0,18.7
43sPhW5Aaf1vPCQBpcvTzo,10776,Sharwoods,Control,1,2.5,18.7
43sPhW5Aaf1vPCQBpcvTzo,10747,The Spice Tailor,Control,1,3.85,18.7
43sPhW5Aaf1vPCQBpcvTzo,10748,The Spice Tailor,Control,1,3.85,18.7
43sPhW5Aaf1vPCQBpcvTzo,10780,Loyd Grossman,Control,1,3.0,18.7
43sPhW5Aaf1vPCQBpcvTzo,10751,Sharwoods,Control,1,2.5,18.7
3jtxZ1mB38UsfXJhQz0l7y,10771,Loyd Grossman,Experiment 1,1,3.0,3.0
1ZyCLvKcxXllSYBI3RPEJG,10740,Sharwoods,Control,1,2.5,12.4
1ZyCLvKcxXllSYBI3RPEJG,10744,Sharwoods,Control,1,2.5,12.4
1ZyCLvKcxXllSYBI3RPEJG,10751,Sharwoods,Control,1,2.5,12.4
1ZyCLvKcxXllSYBI3RPEJG,10745,Sharwoods,Control,1,2.5,12.4
1ZyCLvKcxXllSYBI3RPEJG,10743,Pataks,Control,1,2.4,12.4
3KX2NTtCBc8Iwswjptxe9Q,10774,Pataks,Experiment 1,1,3.25,3.25
7CZ4a6kbsyJyd4ObjPcJ3L,10781,Sharwoods,Experiment 1,1,2.8,5.6
7CZ4a6kbsyJyd4ObjPcJ3L,10782,Sharwoods,Experiment 1,1,2.8,5.6
5SspgVq9Go97r2hOLjHAbB,10747,The Spice Tailor,Experiment 1,1,3.85,13.55
5SspgVq9Go97r2hOLjHAbB,10739,Sharwoods,Experiment 1,1,2.5,13.55
5SspgVq9Go97r2hOLjHAbB,10756,Pataks,Experiment 1,1,2.4,13.55
5SspgVq9Go97r2hOLjHAbB,10787,Sharwoods,Experiment 1,1,2.0,13.55
5SspgVq9Go97r2hOLjHAbB,10782,Sharwoods,Experiment 1,1,2.8,13.55
08Pmnrgxp94Dx6hc6Jd8xe,10781,Sharwoods,Experiment 2,1,2.8,6.05
08Pmnrgxp94Dx6hc6Jd8xe,10762,Pataks,Experiment 2,1,3.25,6.05
7fCwy5NK8nBDpI6W4OKzp6,10790,Sharwoods,Experiment 2,1,2.8,9.45
7fCwy5NK8nBDpI6W4OKzp6,10768,The Spice Tailor,Experiment 2,1,3.85,9.45
7fCwy5NK8nBDpI6W4OKzp6,10784,Sharwoods,Experiment 2,1,2.8,9.45
35rQFUO7JoWXbnGwlbgxSo,10738,Pataks,Experiment 1,1,2.4,2.4
34wRNJXB8c60vqIeXOhOob,10787,Sharwoods,Experiment 1,1,2.0,12.15
34wRNJXB8c60vqIeXOhOob,10753,Loyd Grossman,Experiment 1,1,3.0,12.15
34wRNJXB8c60vqIeXOhOob,10784,Sharwoods,Experiment 1,1,2.8,12.15
34wRNJXB8c60vqIeXOhOob,10751,Sharwoods,Experiment 1,1,2.5,12.15
34wRNJXB8c60vqIeXOhOob,10760,Pataks,Experiment 1,1,1.85,12.15
6sHPl96vHY1yn2Ysv3fg6k,10748,The Spice Tailor,Experiment 2,1,3.85,3.85
7DbIZ2LyPj4OYiypMECCOo,10750,Pataks,Control,1,2.4,9.05
7DbIZ2LyPj4OYiypMECCOo,10769,The Spice Tailor,Control,1,3.85,9.05
7DbIZ2LyPj4OYiypMECCOo,10782,Sharwoods,Control,1,2.8,9.05
23GRBMiUS17ReErzGB0W9z,10736,Pataks,Experiment 1,1,2.4,11.65
23GRBMiUS17ReErzGB0W9z,10756,Pataks,Experiment 1,1,2.4,11.65
23GRBMiUS17ReErzGB0W9z,10766,Pataks,Experiment 1,1,1.85,11.65
23GRBMiUS17ReErzGB0W9z,10750,Pataks,Experiment 1,1,2.4,11.65
23GRBMiUS17ReErzGB0W9z,10765,Bens Original,Experiment 1,1,2.6,11.65
24WJu6KF5rwmuM8Rftayxz,10736,Pataks,Control,1,2.4,8.2
24WJu6KF5rwmuM8Rftayxz,10764,Pataks,Control,1,3.0,8.2
24WJu6KF5rwmuM8Rftayxz,10781,Sharwoods,Control,1,2.8,8.2
0uu2MfVNwDS4aDAMbP7wWg,10749,The Spice Tailor,Experiment 2,2,7.7,10.5
0uu2MfVNwDS4aDAMbP7wWg,10790,Sharwoods,Experiment 2,1,2.8,10.5
4DRo7q85MvLw8bQdavg75k,10736,Pataks,Control,2,4.8,30.5
4DRo7q85MvLw8bQdavg75k,10774,Pataks,Control,1,3.25,30.5
4DRo7q85MvLw8bQdavg75k,10781,Sharwoods,Control,3,8.4,30.5
4DRo7q85MvLw8bQdavg75k,10772,The Spice Tailor,Control,1,7.7,30.5
4DRo7q85MvLw8bQdavg75k,10740,Sharwoods,Control,1,2.5,30.5
4DRo7q85MvLw8bQdavg75k,10773,The Spice Tailor,Control,1,3.85,30.5
57a0q61QAx7B1UKhyKZMfS,10751,Sharwoods,Experiment 2,1,2.5,14.8
57a0q61QAx7B1UKhyKZMfS,10760,Pataks,Experiment 2,1,1.85,14.8
57a0q61QAx7B1UKhyKZMfS,10782,Sharwoods,Experiment 2,1,2.8,14.8
57a0q61QAx7B1UKhyKZMfS,10780,Loyd Grossman,Experiment 2,1,3.0,14.8
57a0q61QAx7B1UKhyKZMfS,10790,Sharwoods,Experiment 2,1,2.8,14.8
57a0q61QAx7B1UKhyKZMfS,10766,Pataks,Experiment 2,1,1.85,14.8
1G8foz0zhI9mYa4puSTnSH,10768,The Spice Tailor,Experiment 1,2,7.7,14.2
1G8foz0zhI9mYa4puSTnSH,10746,Pataks,Experiment 1,2,6.5,14.2
5PjUIg1RjMOmq9G3wAHbTY,10736,Pataks,Control,1,2.4,7.5
5PjUIg1RjMOmq9G3wAHbTY,10778,Pataks,Control,1,1.85,7.5
5PjUIg1RjMOmq9G3wAHbTY,10758,Pataks,Control,1,3.25,7.5
3Mbo89C99PDdy6rW8ch87j,10778,Pataks,Experiment 1,2,3.7,3.7
711z2db5r9eWqp6MuRxs45,10757,Pataks,Control,3,7.2,18.4
711z2db5r9eWqp6MuRxs45,10782,Sharwoods,Control,4,11.2,18.4
5xZK7EYNMsM9CZ4xeGEaV2,10739,Sharwoods,Control,1,2.5,2.5
59hBbioPckVqwbYu0xE9Be,10780,Loyd Grossman,Control,1,3.0,9.65
59hBbioPckVqwbYu0xE9Be,10783,Sharwoods,Control,1,2.8,9.65
59hBbioPckVqwbYu0xE9Be,10769,The Spice Tailor,Control,1,3.85,9.65
0SSypIxaoxZJ9IglT88xuh,10791,Sharwoods,Experiment 2,2,5.6,13.7
0SSypIxaoxZJ9IglT88xuh,10778,Pataks,Experiment 2,1,1.85,13.7
0SSypIxaoxZJ9IglT88xuh,10750,Pataks,Experiment 2,1,2.4,13.7
0SSypIxaoxZJ9IglT88xuh,10779,The Spice Tailor,Experiment 2,1,3.85,13.7
3FS68gEmwZ2l0DTBTjDqvg,10793,Sharwoods,Experiment 2,1,2.8,10.65
3FS68gEmwZ2l0DTBTjDqvg,10780,Loyd Grossman,Experiment 2,1,3.0,10.65
3FS68gEmwZ2l0DTBTjDqvg,10760,Pataks,Experiment 2,1,1.85,10.65
3FS68gEmwZ2l0DTBTjDqvg,10771,Loyd Grossman,Experiment 2,1,3.0,10.65
2J4ELT80q1DxsvuA5R0az8,10742,Pataks,Control,1,2.4,4.9
2J4ELT80q1DxsvuA5R0az8,10770,Sharwoods,Control,1,2.5,4.9
4XO9sKef3QQhQzF0rZ3GjM,10767,Sharwoods,Experiment 2,1,2.5,9.15
4XO9sKef3QQhQzF0rZ3GjM,10754,The Spice Tailor,Experiment 2,1,3.85,9.15
4XO9sKef3QQhQzF0rZ3GjM,10781,Sharwoods,Experiment 2,1,2.8,9.15
6MBYsR6zbDUsOi5OWYcd8r,10778,Pataks,Experiment 2,1,1.85,27.2
6MBYsR6zbDUsOi5OWYcd8r,10742,Pataks,Experiment 2,1,2.4,27.2
6MBYsR6zbDUsOi5OWYcd8r,10784,Sharwoods,Experiment 2,1,2.8,27.2
6MBYsR6zbDUsOi5OWYcd8r,10791,Sharwoods,Experiment 2,1,2.8,27.2
6MBYsR6zbDUsOi5OWYcd8r,10768,The Spice Tailor,Experiment 2,1,3.85,27.2
6MBYsR6zbDUsOi5OWYcd8r,10747,The Spice Tailor,Experiment 2,1,3.85,27.2
6MBYsR6zbDUsOi5OWYcd8r,10769,The Spice Tailor,Experiment 2,1,3.85,27.2
6MBYsR6zbDUsOi5OWYcd8r,10793,Sharwoods,Experiment 2,1,2.8,27.2
6MBYsR6zbDUsOi5OWYcd8r,10771,Loyd Grossman,Experiment 2,1,3.0,27.2
0K941EGsZSITOhXZubsyvU,10740,Sharwoods,Control,1,2.5,7.3
0K941EGsZSITOhXZubsyvU,10763,Pataks,Control,1,2.4,7.3
0K941EGsZSITOhXZubsyvU,10757,Pataks,Control,1,2.4,7.3
5QoEOfuBHUA3XJGO5B4yxP,10751,Sharwoods,Experiment 1,1,2.5,2.5
4lPXvqRl26l660w8O1s6Lh,10781,Sharwoods,Control,1,2.8,2.8
6jnQcnlBQYEGF1T9M9bZVW,10754,The Spice Tailor,Experiment 1,2,7.7,21.85
6jnQcnlBQYEGF1T9M9bZVW,10765,Bens Original,Experiment 1,3,7.8,21.85
6jnQcnlBQYEGF1T9M9bZVW,10767,Sharwoods,Experiment 1,1,2.5,21.85
6jnQcnlBQYEGF1T9M9bZVW,10748,The Spice Tailor,Experiment 1,1,3.85,21.85
0HV2jZiuM7j41zaJ0CNjtU,10779,The Spice Tailor,Experiment 2,1,3.85,6.65
0HV2jZiuM7j41zaJ0CNjtU,10791,Sharwoods,Experiment 2,1,2.8,6.65
4HqidP0YeB1nYzqG4E1Ds1,10780,Loyd Grossman,Experiment 2,1,3.0,6.0
4HqidP0YeB1nYzqG4E1Ds1,10771,Loyd Grossman,Experiment 2,1,3.0,6.0
2EHp5hni2dsIlsbHqNY2rc,10783,Sharwoods,Control,1,2.8,7.15
2EHp5hni2dsIlsbHqNY2rc,10778,Pataks,Control,1,1.85,7.15
2EHp5hni2dsIlsbHqNY2rc,10776,Sharwoods,Control,1,2.5,7.15
051ktEP4lSBh0YeMweUMtO,10755,Pataks,Control,1,3.25,3.25
6oPaScM5gpHPMckKjXH5P0,10752,Pataks,Experiment 1,1,2.4,6.25
6oPaScM5gpHPMckKjXH5P0,10772,The Spice Tailor,Experiment 1,1,3.85,6.25
5FV2KnVnA17Z0AYSZtvSKB,10749,The Spice Tailor,Experiment 1,1,3.85,12.7
5FV2KnVnA17Z0AYSZtvSKB,10759,Sharwoods,Experiment 1,1,2.5,12.7
5FV2KnVnA17Z0AYSZtvSKB,10747,The Spice Tailor,Experiment 1,1,3.85,12.7
5FV2KnVnA17Z0AYSZtvSKB,10767,Sharwoods,Experiment 1,1,2.5,12.7
5nT4cRQtoAREjpUWla1lfL,10765,Bens Original,Experiment 2,1,2.6,2.6
2yKF1jZniu3g3XfBNq3Wpi,10750,Pataks,Experiment 2,1,2.4,2.4
5Omwh1ulbs3EImkLmx3MmH,10774,Pataks,Experiment 2,1,3.25,9.7
5Omwh1ulbs3EImkLmx3MmH,10769,The Spice Tailor,Experiment 2,1,3.85,9.7
5Omwh1ulbs3EImkLmx3MmH,10765,Bens Original,Experiment 2,1,2.6,9.7
4SnEkqXmFJ6x5M4tQMVr1o,10782,Sharwoods,Control,1,2.8,2.8
1wMevj9e6Hyd9QP0JB7OcR,10746,Pataks,Experiment 2,1,3.25,9.9
1wMevj9e6Hyd9QP0JB7OcR,10783,Sharwoods,Experiment 2,1,2.8,9.9
1wMevj9e6Hyd9QP0JB7OcR,10747,The Spice Tailor,Experiment 2,1,3.85,9.9
2wAqiknuduGrwvAG1wFljQ,10749,The Spice Tailor,Control,4,15.4,15.4
3NqPXEZMYOapq6Hi6RZhWj,10777,Sharwoods,Experiment 1,1,2.5,7.4
3NqPXEZMYOapq6Hi6RZhWj,10767,Sharwoods,Experiment 1,1,2.5,7.4
3NqPXEZMYOapq6Hi6RZhWj,10763,Pataks,Experiment 1,1,2.4,7.4
2FmRuJPTg1uoG6lqr0qHGo,10766,Pataks,Experiment 2,1,1.85,11.1
2FmRuJPTg1uoG6lqr0qHGo,10772,The Spice Tailor,Experiment 2,1,3.85,11.1
2FmRuJPTg1uoG6lqr0qHGo,10782,Sharwoods,Experiment 2,1,2.8,11.1
2FmRuJPTg1uoG6lqr0qHGo,10765,Bens Original,Experiment 2,1,2.6,11.1
19qHUxfgTy3qZwYaomptnU,10761,Sharwoods,Experiment 2,1,2.5,2.5
5JpbVg8zeIDoJNQpZT7jKQ,10770,Sharwoods,Experiment 2,1,2.5,5.5
5JpbVg8zeIDoJNQpZT7jKQ,10771,Loyd Grossman,Experiment 2,1,3.0,5.5
2OLftDrlUrMfKuz3ll5cZg,10784,Sharwoods,Experiment 1,1,2.8,5.2
2OLftDrlUrMfKuz3ll5cZg,10742,Pataks,Experiment 1,1,2.4,5.2
60szYgxqJY7ptLYlavzW4f,10761,Sharwoods,Experiment 2,1,2.5,20.05
60szYgxqJY7ptLYlavzW4f,10758,Pataks,Experiment 2,1,3.25,20.05
60szYgxqJY7ptLYlavzW4f,10754,The Spice Tailor,Experiment 2,1,3.85,20.05
60szYgxqJY7ptLYlavzW4f,10782,Sharwoods,Experiment 2,1,2.8,20.05
60szYgxqJY7ptLYlavzW4f,10771,Loyd Grossman,Experiment 2,1,3.0,20.05
60szYgxqJY7ptLYlavzW4f,10793,Sharwoods,Experiment 2,1,2.8,20.05
60szYgxqJY7ptLYlavzW4f,10760,Pataks,Experiment 2,1,1.85,20.05
581E42nkInImJDmksxdGQ8,10758,Pataks,Control,1,3.25,6.25
581E42nkInImJDmksxdGQ8,10764,Pataks,Control,1,3.0,6.25
1sQb5Rv3wL0ubIHmMmwAVJ,10739,Sharwoods,Control,1,2.5,5.0
1sQb5Rv3wL0ubIHmMmwAVJ,10759,Sharwoods,Control,1,2.5,5.0
3ORfa7Nz5pruk8iVJlZNOj,10778,Pataks,Experiment 2,1,1.85,4.25
3ORfa7Nz5pruk8iVJlZNOj,10750,Pataks,Experiment 2,1,2.4,4.25
0lZj3XAA6PIPaSntCkSrwW,10781,Sharwoods,Control,1,2.8,7.7
0lZj3XAA6PIPaSntCkSrwW,10751,Sharwoods,Control,1,2.5,7.7
0lZj3XAA6PIPaSntCkSrwW,10756,Pataks,Control,1,2.4,7.7
5qnh9ViqZqB75pXQFBiwyL,10792,Sharwoods,Experiment 2,1,2.8,2.8
6tisf0eyiBgB31HrKRMewH,10760,Pataks,Control,1,1.85,10.0
6tisf0eyiBgB31HrKRMewH,10763,Pataks,Control,1,2.4,10.0
6tisf0eyiBgB31HrKRMewH,10759,Sharwoods,Control,1,2.5,10.0
6tisf0eyiBgB31HrKRMewH,10774,Pataks,Control,1,3.25,10.0
6zE4odXmfpUJEFyYrIoLAX,10771,Loyd Grossman,Experiment 2,1,3.0,13.6
6zE4odXmfpUJEFyYrIoLAX,10777,Sharwoods,Experiment 2,2,5.0,13.6
6zE4odXmfpUJEFyYrIoLAX,10765,Bens Original,Experiment 2,1,2.6,13.6
6zE4odXmfpUJEFyYrIoLAX,10780,Loyd Grossman,Experiment 2,1,3.0,13.6
5r8EeQCBdXqKI05PPAkD6x,10789,Sharwoods,Experiment 1,1,2.0,3.85
5r8EeQCBdXqKI05PPAkD6x,10778,Pataks,Experiment 1,1,1.85,3.85
4AY4PL5WWjaSUht9ZHPqhT,10759,Sharwoods,Control,1,2.5,8.0
4AY4PL5WWjaSUht9ZHPqhT,10780,Loyd Grossman,Control,1,3.0,8.0
4AY4PL5WWjaSUht9ZHPqhT,10751,Sharwoods,Control,1,2.5,8.0
6k2vF7vrgWsnEvGoyWXaJD,10774,Pataks,Experiment 1,1,3.25,3.25
1I4zskwqTawc66MwKx8fX5,10757,Pataks,Experiment 2,2,4.8,19.35
1I4zskwqTawc66MwKx8fX5,10769,The Spice Tailor,Experiment 2,2,7.7,19.35
1I4zskwqTawc66MwKx8fX5,10764,Pataks,Experiment 2,1,3.0,19.35
1I4zskwqTawc66MwKx8fX5,10773,The Spice Tailor,Experiment 2,1,3.85,19.35
1gdOXM7YrveLYmbWU4bHZG,10752,Pataks,Experiment 1,1,2.4,26.45
1gdOXM7YrveLYmbWU4bHZG,10760,Pataks,Experiment 1,1,1.85,26.45
1gdOXM7YrveLYmbWU4bHZG,10758,Pataks,Experiment 1,1,3.25,26.45
1gdOXM7YrveLYmbWU4bHZG,10783,Sharwoods,Experiment 1,1,5.6,26.45
1gdOXM7YrveLYmbWU4bHZG,10769,The Spice Tailor,Experiment 1,1,3.85,26.45
1gdOXM7YrveLYmbWU4bHZG,10789,Sharwoods,Experiment 1,1,2.0,26.45
1gdOXM7YrveLYmbWU4bHZG,10753,Loyd Grossman,Experiment 1,1,3.0,26.45
1gdOXM7YrveLYmbWU4bHZG,10751,Sharwoods,Experiment 1,1,2.5,26.45
1gdOXM7YrveLYmbWU4bHZG,10786,Sharwoods,Experiment 1,1,2.0,26.45
0kvCYbblZWo2usm9UpDS6S,10758,Pataks,Experiment 2,1,3.25,3.25
30eKLNZ5aP8HkSC2e2wT13,10782,Sharwoods,Control,2,5.6,5.6
4ck6KNu4DgcGpiHHwdvumq,10780,Loyd Grossman,Control,1,3.0,16.1
4ck6KNu4DgcGpiHHwdvumq,10781,Sharwoods,Control,2,5.6,16.1
4ck6KNu4DgcGpiHHwdvumq,10759,Sharwoods,Control,1,2.5,16.1
4ck6KNu4DgcGpiHHwdvumq,10751,Sharwoods,Control,1,2.5,16.1
4ck6KNu4DgcGpiHHwdvumq,10761,Sharwoods,Control,1,2.5,16.1
2L8mByndL1Spc8sZLbP4hC,10781,Sharwoods,Control,1,2.8,2.8
0w4sufDBQGtpPUCkjUzNxd,10788,Sharwoods,Experiment 1,2,4.0,7.85
0w4sufDBQGtpPUCkjUzNxd,10768,The Spice Tailor,Experiment 1,1,3.85,7.85
0BZhKLsCsmRhxFgKa4MME2,10744,Sharwoods,Experiment 2,3,7.5,25.6
0BZhKLsCsmRhxFgKa4MME2,10774,Pataks,Experiment 2,1,3.25,25.6
0BZhKLsCsmRhxFgKa4MME2,10764,Pataks,Experiment 2,1,3.0,25.6
0BZhKLsCsmRhxFgKa4MME2,10783,Sharwoods,Experiment 2,1,2.8,25.6
0BZhKLsCsmRhxFgKa4MME2,10781,Sharwoods,Experiment 2,1,2.8,25.6
0BZhKLsCsmRhxFgKa4MME2,10748,The Spice Tailor,Experiment 2,1,3.85,25.6
0BZhKLsCsmRhxFgKa4MME2,10752,Pataks,Experiment 2,1,2.4,25.6
3kAWJu8DycBdr8D0YK89KW,10744,Sharwoods,Experiment 1,2,5.0,7.8
3kAWJu8DycBdr8D0YK89KW,10782,Sharwoods,Experiment 1,1,2.8,7.8
6S2Dz7OjIRfUrb174APU7a,10770,Sharwoods,Experiment 2,2,5.0,22.9
6S2Dz7OjIRfUrb174APU7a,10740,Sharwoods,Experiment 2,1,2.5,22.9
6S2Dz7OjIRfUrb174APU7a,10779,The Spice Tailor,Experiment 2,1,3.85,22.9
6S2Dz7OjIRfUrb174APU7a,10780,Loyd Grossman,Experiment 2,1,3.0,22.9
6S2Dz7OjIRfUrb174APU7a,10792,Sharwoods,Experiment 2,1,2.8,22.9
6S2Dz7OjIRfUrb174APU7a,10746,Pataks,Experiment 2,1,3.25,22.9
6S2Dz7OjIRfUrb174APU7a,10777,Sharwoods,Experiment 2,1,2.5,22.9
5WgPyekZ7b41VGRI7znCrC,10779,The Spice Tailor,Experiment 2,1,3.85,9.25
5WgPyekZ7b41VGRI7znCrC,10757,Pataks,Experiment 2,1,2.4,9.25
5WgPyekZ7b41VGRI7znCrC,10764,Pataks,Experiment 2,1,3.0,9.25
6vPAZbSip2EoAKM8llWpj5,10787,Sharwoods,Experiment 1,1,2.0,4.5
6vPAZbSip2EoAKM8llWpj5,10767,Sharwoods,Experiment 1,1,2.5,4.5
6Ennz1tz2UTDgEmicjW5MN,10736,Pataks,Control,1,2.4,2.4
7Hq5VtdErEvpcqaD4CEmij,10736,Pataks,Control,1,2.4,10.9
7Hq5VtdErEvpcqaD4CEmij,10753,Loyd Grossman,Control,1,3.0,10.9
7Hq5VtdErEvpcqaD4CEmij,10777,Sharwoods,Control,1,2.5,10.9
7Hq5VtdErEvpcqaD4CEmij,10780,Loyd Grossman,Control,1,3.0,10.9
3eKVTOOQTkTfCcw43qVvqH,10744,Sharwoods,Experiment 2,2,5.0,29.35
3eKVTOOQTkTfCcw43qVvqH,10752,Pataks,Experiment 2,1,2.4,29.35
3eKVTOOQTkTfCcw43qVvqH,10772,The Spice Tailor,Experiment 2,1,3.85,29.35
3eKVTOOQTkTfCcw43qVvqH,10749,The Spice Tailor,Experiment 2,2,7.7,29.35
3eKVTOOQTkTfCcw43qVvqH,10792,Sharwoods,Experiment 2,1,2.8,29.35
3eKVTOOQTkTfCcw43qVvqH,10757,Pataks,Experiment 2,1,4.8,29.35
3eKVTOOQTkTfCcw43qVvqH,10782,Sharwoods,Experiment 2,1,2.8,29.35
2A7aSETLIUAMZL0QJYP8dd,10743,Pataks,Experiment 1,1,2.4,9.25
2A7aSETLIUAMZL0QJYP8dd,10753,Loyd Grossman,Experiment 1,1,3.0,9.25
2A7aSETLIUAMZL0QJYP8dd,10748,The Spice Tailor,Experiment 1,1,3.85,9.25
4bY8fUCbR3oHwk9Uhiilz4,10762,Pataks,Experiment 1,1,3.25,20.6
4bY8fUCbR3oHwk9Uhiilz4,10755,Pataks,Experiment 1,3,9.75,20.6
4bY8fUCbR3oHwk9Uhiilz4,10743,Pataks,Experiment 1,1,2.4,20.6
4bY8fUCbR3oHwk9Uhiilz4,10765,Bens Original,Experiment 1,2,5.2,20.6
3Odfq9IEXxuykb3C76rhG7,10782,Sharwoods,Experiment 1,1,2.8,5.2
3Odfq9IEXxuykb3C76rhG7,10752,Pataks,Experiment 1,1,2.4,5.2
3WG16EpK7KqRxMK7Ea1bJd,10778,Pataks,Experiment 2,1,1.85,1.85
0HAgZg7OWr2pRJV9MuwiOs,10770,Sharwoods,Experiment 2,1,2.5,5.0
0HAgZg7OWr2pRJV9MuwiOs,10751,Sharwoods,Experiment 2,1,2.5,5.0
2G5izOgvw8Q0CyPTTA5Us8,10742,Pataks,Experiment 2,1,2.4,10.55
2G5izOgvw8Q0CyPTTA5Us8,10774,Pataks,Experiment 2,1,3.25,10.55
2G5izOgvw8Q0CyPTTA5Us8,10770,Sharwoods,Experiment 2,1,2.5,10.55
2G5izOgvw8Q0CyPTTA5Us8,10752,Pataks,Experiment 2,1,2.4,10.55
4ifJ2PfmkL5YntIaCvkZnw,10783,Sharwoods,Experiment 2,1,2.8,10.8
4ifJ2PfmkL5YntIaCvkZnw,10763,Pataks,Experiment 2,1,2.4,10.8
4ifJ2PfmkL5YntIaCvkZnw,10792,Sharwoods,Experiment 2,1,2.8,10.8
4ifJ2PfmkL5YntIaCvkZnw,10793,Sharwoods,Experiment 2,1,2.8,10.8
5YvdEjUu6eI5FOUnrW2t5U,10736,Pataks,Experiment 1,1,2.4,7.2
